City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Shelburne,CA,2022-04-17 02:00:09,44.0787,-80.2041,28.9,78,99,9.84
157,Dauphin,CA,2022-04-17 02:00:45,51.1494,-100.0502,18.72,92,27,3.96
158,Namibe,AO,2022-04-17 02:00:45,-15.1961,12.1522,72.39,75,75,6.53
159,Mar Del Plata,AR,2022-04-17 01:59:10,-38.0023,-57.5575,61.88,89,91,8.01
160,Newport,GB,2022-04-17 02:00:45,51.5877,-2.9984,52.52,75,100,3.56
161,Todos Santos,MX,2022-04-17 02:00:46,23.45,-110.2167,65.66,80,100,7.11
162,Dudinka,RU,2022-04-17 02:00:46,69.4058,86.1778,12.33,95,100,13.4
163,Alassio,IT,2022-04-17 02:00:47,44.0039,8.1671,61.47,55,98,1.01
164,Sao Miguel Do Araguaia,BR,2022-04-17 02:00:47,-13.275,-50.1628,75.27,80,72,2.44
165,Le Port,RE,2022-04-17 02:00:47,-20.9373,55.2919,73.4,75,10,4.29
166,Karratha,AU,2022-04-17 02:00:48,-20.7377,116.8463,92.86,31,10,5.32
167,Abha,SA,2022-04-17 02:00:48,18.2164,42.5053,60.62,46,2,6.76
168,Inuvik,CA,2022-04-17 02:00:48,68.3499,-133.7218,11.61,83,44,7.02
169,Saint George,US,2022-04-17 02:00:07,37.1041,-113.5841,72.25,20,45,4.0
170,Hasaki,JP,2022-04-17 02:00:49,35.7333,140.8333,61.29,54,100,9.62
171,Zeven,DE,2022-04-17 02:00:49,53.3,9.2833,40.73,76,1,6.42
172,Yala,TH,2022-04-17 02:00:50,6.3333,101.25,80.6,72,62,1.9
173,Tasiilaq,GL,2022-04-17 02:00:50,65.6145,-37.6368,33.96,97,100,7.65
174,Sao Joao Da Barra,BR,2022-04-17 02:00:50,-21.6403,-41.0511,69.37,76,34,10.2
175,Severo-Kurilsk,RU,2022-04-17 02:00:51,50.6789,156.125,32.86,78,100,11.1
176,Georgetown,MY,2022-04-17 01:57:05,5.4112,100.3354,85.95,87,20,5.01
177,Punta Alta,AR,2022-04-17 02:00:52,-38.8759,-62.0736,60.19,65,97,2.75
178,Flinders,AU,2022-04-17 02:00:52,-34.5833,150.8552,77.05,58,2,11.01
179,Bambous Virieux,MU,2022-04-17 02:01:53,-20.3428,57.7575,76.21,82,63,13.76
180,Touros,BR,2022-04-17 02:01:53,-5.1989,-35.4608,79.03,84,86,6.15
181,Mpanda,TZ,2022-04-17 02:01:53,-6.3655,31.0409,65.08,98,100,1.3
182,Tighina,MD,2022-04-17 02:01:54,46.8306,29.4711,43.57,72,100,13.13
183,Katherine,AU,2022-04-17 02:01:54,-14.4667,132.2667,89.92,43,95,10.36
184,Ambilobe,MG,2022-04-17 02:01:54,-13.2,49.05,68.83,90,6,3.65
185,Ilulissat,GL,2022-04-17 02:01:55,69.2167,-51.1,-8.21,92,10,5.86
186,Asau,RO,2022-04-17 02:01:55,46.4333,26.4,36.52,90,100,5.93
187,Shenkursk,RU,2022-04-17 02:01:55,62.1091,42.896,20.53,96,54,3.74
188,Kemijarvi,FI,2022-04-17 02:01:56,66.7131,27.4306,30.49,95,99,5.32
189,Shimoda,JP,2022-04-17 02:01:56,34.6667,138.95,52.11,74,100,9.48
190,Grindavik,IS,2022-04-17 02:01:56,63.8424,-22.4338,43.27,93,75,13.8
191,Aklavik,CA,2022-04-17 02:01:57,68.2191,-135.0107,13.91,81,20,12.3
192,Merauke,ID,2022-04-17 02:01:11,-8.4667,140.3333,84.74,69,100,1.77
193,Padang,ID,2022-04-17 02:01:57,-0.9492,100.3543,86.05,68,30,1.5
194,Mutoko,ZW,2022-04-17 01:58:11,-17.397,32.2268,59.65,93,15,4.38
195,Coihaique,CL,2022-04-17 01:58:01,-45.5752,-72.0662,46.35,81,0,5.75
196,Presidencia Roque Saenz Pena,AR,2022-04-17 02:01:58,-26.7852,-60.4388,58.32,86,48,3.76
197,Yerofey Pavlovich,RU,2022-04-17 02:01:58,53.9667,121.9667,35.51,35,83,5.39
198,Mahebourg,MU,2022-04-17 02:01:58,-20.4081,57.7,76.24,82,59,13.56
199,Kashi,CN,2022-04-17 02:01:59,39.4547,75.9797,58.55,20,0,4.07
200,Amarante Do Maranhao,BR,2022-04-17 02:01:59,-5.5667,-46.7422,72.0,97,20,1.52
201,Katsuura,JP,2022-04-17 02:02:01,35.1333,140.3,58.98,58,100,10.31
202,Tauranga,NZ,2022-04-17 02:02:01,-37.6861,176.1667,71.92,61,100,5.99
203,Talnakh,RU,2022-04-17 02:02:01,69.4865,88.3972,13.89,94,100,15.75
204,Alice Town,BS,2022-04-17 02:02:02,25.7167,-79.3,77.86,71,0,15.46
205,Semey,KZ,2022-04-17 02:02:02,50.4111,80.2275,43.02,56,0,8.95
206,Pacific Grove,US,2022-04-17 02:02:02,36.6177,-121.9166,59.54,76,40,10.0
207,Srednekolymsk,RU,2022-04-17 02:02:03,67.45,153.6833,18.63,86,100,7.0
208,Sur,OM,2022-04-17 01:57:36,22.5667,59.5289,86.41,36,32,5.75
209,Kondinskoye,RU,2022-04-17 02:02:03,59.6481,67.41,30.58,94,94,4.21
210,Kavieng,PG,2022-04-17 02:02:04,-2.5744,150.7967,84.51,71,31,8.75
211,Paamiut,GL,2022-04-17 02:02:04,61.994,-49.6678,22.24,88,8,7.0
212,Tagusao,PH,2022-04-17 02:02:04,9.1924,117.8141,84.56,69,50,6.44
213,Ejura,GH,2022-04-17 02:02:05,7.3856,-1.3562,76.93,82,100,3.18
214,Etalle,BE,2022-04-17 02:02:05,49.6764,5.602,42.93,64,2,10.78
215,Denpasar,ID,2022-04-17 02:02:05,-8.65,115.2167,83.86,88,40,2.3
216,Prince Rupert,CA,2022-04-17 02:02:06,54.3161,-130.3201,44.98,49,29,4.27
217,Lompoc,US,2022-04-17 01:57:57,34.6391,-120.4579,62.74,76,20,8.99
218,Henties Bay,NA,2022-04-17 02:02:06,-22.116,14.2845,59.63,82,83,5.41
219,San Cristobal,VE,2022-04-17 02:02:07,7.7669,-72.225,67.14,97,100,4.21
220,Vostok,RU,2022-04-17 02:02:07,46.4856,135.8833,39.07,48,79,15.21
221,Haines Junction,CA,2022-04-17 02:03:07,60.7522,-137.5108,33.39,72,100,2.82
222,Alofi,NU,2022-04-17 02:03:08,-19.0595,-169.9187,81.79,73,63,9.42
223,Gasa,PS,2022-04-17 02:02:40,31.5,34.4667,66.63,36,59,8.55
224,Baruun-Urt,MN,2022-04-17 02:03:08,46.6806,113.2792,46.56,34,19,12.46
225,Ozinki,RU,2022-04-17 02:03:09,51.1786,49.6769,44.31,78,94,8.97
226,Rio Grande,BR,2022-04-17 02:03:09,-32.035,-52.0986,56.95,74,85,8.93
227,Dikson,RU,2022-04-17 02:02:58,73.5069,80.5464,6.53,94,100,14.54
228,Bognor Regis,GB,2022-04-17 02:03:09,50.7821,-0.6798,52.74,84,84,8.95
229,Wadi Maliz,TN,2022-04-17 02:03:10,36.4681,8.5495,51.06,86,12,7.63
230,Keetmanshoop,NA,2022-04-17 02:03:10,-26.5833,18.1333,64.0,46,0,9.44
