City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
181,Guerrero Negro,MX,27.9769,-114.0611,67.84,64,16,20.4,few clouds
182,Shimoda,JP,34.6667,138.95,59.36,82,100,9.35,overcast clouds
183,Shelburne,CA,44.0787,-80.2041,32.76,91,100,13.76,light snow
184,Lagoa,PT,39.05,-27.9833,58.24,73,45,18.79,scattered clouds
185,Prieska,ZA,-29.6641,22.7474,63.16,44,3,2.19,clear sky
186,Praya,CV,14.9215,-23.5087,72.14,78,75,12.66,broken clouds
187,Katsuura,JP,35.1333,140.3,58.78,70,100,12.37,overcast clouds
188,Arroyo,ES,41.6096,-4.7969,51.15,71,0,18.41,clear sky
189,Greytown,ZA,-29.0642,30.5928,52.52,98,91,2.26,overcast clouds
190,Osypenko,UA,46.9136,36.8253,48.85,93,40,3.96,scattered clouds
191,Arima,TT,10.6333,-61.2833,79.45,81,20,10.0,few clouds
192,Ossora,RU,59.2353,163.0719,29.57,73,100,1.92,overcast clouds
193,Brokopondo,SR,4.75,-55.1667,76.73,89,71,8.34,broken clouds
194,Vagay,RU,57.9375,69.0217,30.63,70,53,4.34,broken clouds
195,Basudebpur,IN,21.1353,86.7386,76.3,95,0,5.79,clear sky
196,Mwene-Ditu,CD,-7.0,23.45,66.9,94,62,4.43,broken clouds
197,Kieta,PG,-6.2167,155.6333,83.43,70,100,1.07,overcast clouds
198,Danville,US,36.586,-79.395,45.34,85,100,8.05,overcast clouds
199,Taphan Hin,TH,16.2209,100.4198,78.89,78,100,2.64,overcast clouds
200,Northam,GB,51.0333,-4.2167,46.65,86,13,6.11,few clouds
201,Mahebourg,MU,-20.4081,57.7,78.26,94,40,8.05,scattered clouds
202,Banda Aceh,ID,5.5577,95.3222,80.04,79,78,6.08,broken clouds
203,Matagami,CA,49.7502,-77.6328,37.51,41,0,4.61,clear sky
204,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.98,81,8,9.24,clear sky
205,Kaitangata,NZ,-46.2817,169.8464,61.45,54,93,3.47,light rain
206,Si Bun Ruang,TH,16.9667,102.2833,73.94,75,99,3.85,overcast clouds
207,Clyde River,CA,70.4692,-68.5914,-2.92,90,100,1.54,overcast clouds
208,Estevan,CA,49.1334,-102.9842,32.34,74,0,9.22,clear sky
209,Ponta Do Sol,PT,32.6667,-17.1,64.71,76,66,13.6,broken clouds
210,Vallenar,CL,-28.5708,-70.7581,65.03,58,0,4.09,clear sky
211,Avera,US,33.194,-82.5271,63.91,75,81,12.19,broken clouds
212,Saint George,US,37.1041,-113.5841,88.63,7,0,8.05,clear sky
213,Cayenne,GF,4.9333,-52.3333,77.09,1,100,2.3,overcast clouds
214,Lashio,MM,22.9333,97.75,64.54,82,82,2.33,broken clouds
215,Aksarka,RU,66.5606,67.7975,8.94,98,94,3.31,overcast clouds
216,Mizdah,LY,31.4451,12.9801,52.61,45,0,5.79,clear sky
217,Harkany,HU,45.85,18.2367,38.57,70,100,3.44,overcast clouds
218,Bara,NG,10.3744,10.7288,84.54,58,100,9.6,light rain
219,Geraldton,AU,-28.7667,114.6,59.41,55,0,3.44,clear sky
220,Akyab,MM,20.15,92.9,80.06,86,11,3.15,few clouds
221,East London,ZA,-33.0153,27.9116,66.6,84,94,5.7,overcast clouds
222,Klyuchi,RU,52.2667,79.1667,44.19,60,100,13.85,overcast clouds
223,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,63.68,83,5,9.44,clear sky
224,Teahupoo,PF,-17.8333,-149.2667,80.56,73,24,6.96,few clouds
225,Adrar,MR,20.5022,-10.0711,78.55,13,2,10.02,clear sky
226,Teocaltiche,MX,21.4333,-102.5833,87.31,11,7,1.59,clear sky
227,Ambon,ID,-3.6954,128.1814,78.94,94,40,5.75,scattered clouds
228,Ilulissat,GL,69.2167,-51.1,10.42,72,75,13.8,light snow
229,Bereda,ES,43.2686,-7.5406,48.42,100,100,3.2,overcast clouds
230,Alofi,NU,-19.0595,-169.9187,84.09,79,75,10.36,drizzle
231,Santa Cruz De La Palma,ES,28.6835,-17.7642,68.14,73,75,16.11,broken clouds
232,Sao Filipe,CV,14.8961,-24.4956,71.15,80,27,6.33,scattered clouds
233,Husavik,IS,66.0449,-17.3389,34.29,97,100,11.99,overcast clouds
234,Vardo,NO,70.3705,31.1107,40.8,92,100,18.63,overcast clouds
235,Bilibino,RU,68.0546,166.4372,21.02,85,89,1.86,overcast clouds
236,Leeton,AU,-34.5667,146.4,58.91,78,100,4.41,moderate rain
237,Dingle,PH,10.9995,122.6711,78.35,85,16,8.81,few clouds
238,Mecca,SA,21.4267,39.8261,85.24,24,13,1.7,few clouds
239,Carnarvon,AU,-24.8667,113.6333,64.47,72,29,8.05,scattered clouds
240,Esperance,AU,-33.8667,121.9,61.65,75,85,11.43,overcast clouds
