City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
484,Mangrol,IN,79.41,clear sky,21.1167,70.1167,Hotel The Royal Honours
489,Oum Hadjer,TD,86.67,overcast clouds,13.2954,19.6966,
490,Devgarh,IN,77.29,clear sky,25.5333,73.9,Deogarh Mahal
492,Garowe,SO,77.97,few clouds,8.4054,48.4845,Curubo Hotel
498,Saint-Georges,GD,79.09,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
499,Santa Cruz,BO,77.05,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
505,Vung Tau,VN,81.16,overcast clouds,10.346,107.0843,Seaside Resort
506,Pasni,PK,79.29,few clouds,25.2631,63.471,Kashmiri Hotal
508,Caucasia,CO,78.93,overcast clouds,7.9865,-75.1935,Hotel San Rafael
509,Sungai Besar,MY,76.77,overcast clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
516,Umm Lajj,SA,86.97,overcast clouds,25.0213,37.2685,Moon light Furnished Units
522,Chabahar,IR,79.83,broken clouds,25.2919,60.643,هتل گدروشیا
524,Acajutla,SV,85.91,scattered clouds,13.5928,-89.8275,Laureles
525,Road Town,VG,78.89,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
526,Tawau,MY,77.13,broken clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
530,Port-Gentil,GA,80.56,thunderstorm,-0.7193,8.7815,Fengshui Residence
531,Gizo,SB,81.66,overcast clouds,-8.103,156.8419,Imagination Island
538,Altos Del Rosario,CO,77.07,overcast clouds,8.7944,-74.1658,Hotel El Profe
539,Tutoia,BR,78.39,overcast clouds,-2.7619,-42.2744,Pousada Guará's
540,Anloga,GH,79.41,overcast clouds,5.7947,0.8973,Pin Drop Hotel
543,Pouembout,NC,82.69,few clouds,-21.1333,164.9,Camping de Tipenga
